brand,model,year,generation,restyling,price,engine_volume,fuel_t,power_hp,transmission,drive,body-type,mileage,owners,steering,equipment
BMW,X7,2024,N/A,False,72024,4.4,бензин,530,автомат,4WD,внедорожник,9189,N/A,левый,BMW X7 I (G07) Рестайлинг M60i 4.4 AT (530 л.с.) 4WD M60i xDrive Sport Pro
Lexus,LX600,2024,4,False,6002024,3.4,бензин,415,АКПП,4WD,внедорожник,47,N/A,левый,3.4 AT VIP; бензиновый; 4wd
Toyota,Tundra,2024,3,False,2024,3.4,бензин,389,АКПП,4WD,N/A,816,N/A,левый,3.4 AT 4x4 Crew Max Short Bed Capstone
BMW,X7,2024,N/A,False,72024,4.4,бензин,530,автомат,4WD,внедорожник,4000,N/A,левый,BMW X7 I (G07) Рестайлинг M60i 4.4 AT (530 л.с.) 4WD M60i xDrive Sport Pro
BMW,X5,2023,4,True,52023,4.4,бензин,625,АКПП,4WD,внедорожник,3802,N/A,левый,M Competition
BMW,X6,2021,3,False,62021,3.0,бензин,340,АКПП,4WD,внедорожник,58872,1,левый,xDrive 40i AT M Sport Pure
BMW,X5,2023,4,False,52023,4.4,бензин,530,АКПП,4WD,внедорожник,8425,N/A,левый,BMW X5 IV (G05/G18) Рестайлинг M60i 4.4 AT (530 л.с.) 4WD M60i Sport Pro
Toyota,Sequoia,2023,3,False,2023,3.4,бензин,437,АКПП,4WD,внедорожник,12237,1,левый,3.4 AT Capstone
Mercedes,Benz E Class,2019,5,False,2019,1.5,бензин,184,АКПП,задний,седан,29000,1,правый,E 200 Avantgarde
Audi,A6,2015,4,True,62015,2.8,бензин,220,робот,4WD,седан,131000,2,левый,2.8 FSI quattro S tronic Business
Toyota,Yaris,2020,4,False,2020,1.5,бензин,120,вариатор,4WD,хэтчбек 5 дв.,118679,N/A,правый,1.5 X 4WD
Nissan,X Trail,2014,2,True,2014,2.0,бензин,141,механика,4WD,внедорожник,315000,1,левый,N/A
Chery,Tiggo 7 Pro Max,2024,1,False,7,1.6,бензин,150,робот,4WD,внедорожник,18000,2,левый,1.6 GDI DCT AWD Ultimate
BMW,5 Series,2017,7,False,5,2.0,дизель,190,АКПП,4WD,седан,147000,4,левый,520d AT xDrive Luxury
Kia,Cerato,2014,3,False,2014,2.0,бензин,150,АКПП,передний,седан,182000,2,левый,2.0 AT Prestige; автомат; седан; бензиновый
Infiniti,QX80,2013,1,False,802013,5.6,бензин,405,АКПП,4WD,внедорожник,170000,1,левый,5.6 AWD Hi-tech (8-местный)
BMW,3 Series,2013,6,False,3,1.6,бензин,136,АКПП,задний,седан,171334,4,левый,316i AT; стоимость 1.7млн.р.
Mercedes,Benz GLS Class,2020,2,False,2020,2.9,дизель,330,АКПП,4WD,внедорожник,180000,1,левый,GLS 400 d 4MATIC
Mercedes,Benz V Class,2017,3,False,2017,2.1,дизель,163,АКПП,4WD,минивэн,129300,2,левый,220 d AT 4MATIC Avantgarde Длинный
Mercedes,Benz Vito,2013,2,True,2013,2.1,дизель,136,АКПП,4WD,минивэн,82218,3,левый,113 CDI 4x4 AT L2
Mercedes,Benz E Class,2019,5,False,2019,2.0,бензин,245,АКПП,задний,седан,37044,N/A,левый,E 300 AТ AMG Line
Mercedes,Benz S Class,2020,7,False,2020,2.9,дизель,330,АКПП,4WD,седан,153000,2,левый,S400 d 4MATIC AMG Line
Mercedes,Benz Mercedes,1977,N/A,False,1977,N/A,бензин,156,механика,задний,седан,250000,4,левый,N/A
Skoda,Karoq,2020,1,False,2020,1.4,бензин,150,АКПП,передний,внедорожник,152000,2,левый,1.4 TSI AT Style
Toyota,Vellfire,2012,1,True,2012,3.5,бензин,280,АКПП,передний,минивэн,102000,N/A,правый,3.5 Z (7 Seater)
Toyota,Camry,2012,8,False,2012,2.0,бензин,148,АКПП,передний,седан,175000,2,левый,N/A
Toyota,Land Cruiser,2017,11,True,2017,4.5,дизель,249,АКПП,4WD,джип/suv 5 дв.,138000,4,левый,4.5 TD AT Excalibur
Mercedes,Benz GLE,2020,2,False,2020,2.0,дизель,245,АКПП,4WD,внедорожник,110000,2,левый,GLE 300d 4MATIC
Mazda,Mazda6,2013,3,False,62013,2.0,бензин,150,АКПП,передний,седан,171000,3,левый,2.0 AT Active; седан; левый руль
Skoda,Superb,2017,3,False,2017,2.0,бензин,220,робот,передний,лифтбек,183000,1,левый,2.0 TSI DSG L&K
Toyota,Esquire,2015,1,False,2015,1.8,бензин,99,вариатор,передний,минивэн,127000,N/A,правый,N/A
Mercedes,Benz S Class,2025,7,False,2025,4.0,бензин,503,АКПП,4WD,седан,34000,N/A,левый,Mercedes-Maybach S580
Audi,A4,2013,4,True,42013,2.0,бензин,225,робот,4WD,седан,116000,4,левый,2.0 TFSI quattro S Tronic Sport; с пробегом; пробег 116000 км; седан; 4вд
Mercedes,Benz G Class,2025,3,True,2025,4.0,бензин,585,робот,4WD,джип/suv 5 дв.,13,1,левый,G 63 AMG Superior Line
Honda,Fit,2002,1,False,2002,1.3,бензин,86,вариатор,передний,хэтчбек,304000,4,правый,N/A
Hyundai,Palisade,2023,1,True,2023,2.2,дизель,202,АКПП,4WD,внедорожник,65000,1,левый,2.2 CRDI AT 4WD Calligraphy 7 seats
Toyota,Camry,2021,9,True,2021,2.0,бензин,150,вариатор,передний,седан,201500,1,левый,2.0 CVT Стандарт; автомат
Ford,Focus,2011,2,True,2011,1.6,бензин,100,механика,передний,хэтчбек 5 дв.,150000,4,левый,1.6 MT Comfort
Li,L7,2025,1,False,72025,1.5,бензин,154,АКПП,4WD,внедорожник,10,N/A,левый,1.5 SSR Max
Xiaomi,SU7,2024,1,False,72024,N/A,электро,673,АКПП,4WD,седан,50,1,левый,101 kWh Max
BMW,Z4,2020,3,False,42020,2.0,бензин,197,АКПП,задний,открытый,44000,1,левый,sDrive 20i AT M Sport
Volkswagen,Touran,2012,1,True,2012,1.4,бензин,140,робот,передний,минивэн,240000,3,левый,1.4 TSI DSG Highline 7 мест
Toyota,Sienta,2013,1,True,2013,1.5,бензин,110,вариатор,передний,минивэн,157000,1,правый,1.5 Dice
BMW,5 Series,2019,7,False,5,2.0,дизель,190,АКПП,4WD,универсал,198000,2,левый,520d AT xDrive SportLine
Honda,Civic,2019,10,True,2019,1.5,бензин,180,вариатор,передний,хэтчбек 5 дв.,49000,N/A,левый,1.5T LL-CVT Sport; акпп; хэтчбек 5 дв.
BMW,X6,2025,N/A,False,62025,3.0,дизель,352,автомат,4WD,внедорожник,N/A,N/A,левый,N/A
Land,Rover Range Rover,2018,4,True,2018,4.4,дизель,339,АКПП,4WD,джип/suv 5 дв.,176000,3,левый,N/A
Toyota,Land Cruiser,2022,12,False,2022,3.3,дизель,299,АКПП,4WD,джип/suv 5 дв.,17600,2,левый,N/A
Voyah,Dream,2024,1,False,2024,1.5,гибрид,422,автомат,4WD,"Коммерческий утиль снят в 2025 году. В МАКСИМАЛЬНОЙ КОМПЛЕКТАЦИИ, СО ВСЕМИ ВОЗМОЖНЫМИ ДОПАМИ. С авто в комплекте идёт: -Коврики Документы выданы Авто готов к постановке на учет!",15000,1,левый,N/A
Hyundai,Tucson,2015,3,False,2015,2.0,бензин,149,АКПП,передний,внедорожник,73300,2,левый,2.0 AT 2WD Comfort; белый
Haval,Jolion,2023,1,False,2023,1.5,бензин,143,робот,передний,внедорожник,11000,2,левый,1.5 DCT Premium
Audi,A6,2010,3,True,62010,2.8,бензин,190,вариатор,передний,седан,64456,2,левый,2.8 FSI multitronic
OMODA,C5,2023,1,False,52023,1.6,бензин,150,робот,4WD,внедорожник,21600,1,левый,1.6T DCT AWD Supreme
Toyota,RAV4,2011,3,True,42011,2.0,бензин,158,вариатор,4WD,джип/suv 5 дв.,176600,3,левый,N/A
Mercedes,Benz G Class,2024,3,False,2024,4.0,бензин,585,робот,4WD,джип/suv 5 дв.,N/A,N/A,левый,G 63 AMG; серый; джип/suv 5 дв.; 4вд; автомат
Renault,Logan,2016,2,False,2016,1.6,бензин,82,механика,передний,седан,83000,2,левый,1.6 MT Luxe Privilege
Kia,Ceed,2019,3,False,2019,1.6,бензин,128,АКПП,передний,универсал,88500,2,левый,Premium.
Mercedes,Benz GLS Class,2024,2,True,2024,3.0,дизель,367,автомат,4WD,внедорожник,150,N/A,левый,GLS 450 d 4MATIC
Mercedes,Benz GLK Class,2015,1,True,2015,2.1,дизель,170,АКПП,4WD,внедорожник,171680,2,левый,GLK 220 CDI 4MATIC AT Особая серия; АКПП; 4вд; белый
Toyota,Crown,1997,10,False,1997,2.5,бензин,200,АКПП,задний,седан,111700,4,правый,N/A
Land,Rover Freelander,2009,2,False,2009,3.2,бензин,233,АКПП,4WD,джип/suv 5 дв.,205001,4,левый,3.2 i6 AT HSE
Land,Rover Range Rover Evoque,2014,1,False,2014,2.2,дизель,190,АКПП,4WD,джип/suv 5 дв.,154400,3,левый,2.2 SD4 AT AWD Prestige
Skoda,Octavia,2017,3,True,2017,1.4,бензин,150,робот,передний,лифтбек,150000,4,левый,N/A
Nissan,Leaf,2020,2,False,2020,N/A,электро,150,АКПП,передний,хэтчбек 5 дв.,39771,1,правый,40kWh X
Mitsubishi,Pajero,2012,4,True,2012,3.8,бензин,250,АКПП,4WD,джип/suv 5 дв.,137800,2,левый,3.8 AT Ultimate
BMW,X6,2020,3,False,62020,3.0,дизель,340,АКПП,4WD,внедорожник,46000,1,левый,xDrive 40d AT M Sport Pro; АКПП
Mercedes,Benz C Class,2013,3,True,2013,1.6,бензин,156,АКПП,задний,седан,235000,2,левый,N/A
Lexus,RX200t,2016,4,False,200,2.0,бензин,238,АКПП,4WD,"Полный привод 4WD, адаптируемая подвеска с изменением жёсткости, система бесключевого доступа, передние сидения с электро-регулировкой, электроподогрев передних и задних сидений, рулевого колеса, лобового стекла и боковых зеркал, вентиляция передних сидений, адаптивный круиз-контроль, премиальный звук Mark Levinson Premium Surround, алюминиевые колесные диски 20-го радиуса, скрытый видеорегистратор+антирадар 2в1, большой монитор, камера заднего вида, электропривод багажной двери, проекция на лобовое стекло и многое другое! Звонить просьба с 08:00 до 21:00 по Московскому времени, а в случае отсутствия ответа с 09:00 21:00 по Владивостоку ( разница +7 часов с Москвой). Торг только при осмотре, по телефону не торгуюсь. Возможны любые проверки авто за Ваш счет у официального дилера. Возможна продажа по безналу + 12% к стоимости! ❗️❗️❗️ВНИМАНИЕ В АВТОСАЛОН НЕ ПОСТАВЛЮ, ОБМЕНЫ НЕ ИНТЕРЕСУЮТ, ТОЛЬКО ПРОДАЖА!",84000,2,левый,2.0t AT AWD F Sport Luxury
MINI,Hatch,2013,2,True,2013,1.6,бензин,211,АКПП,передний,хэтчбек 3 дв.,96500,3,левый,1.6 AT John Cooper Works
Mitsubishi,Outlander,2013,3,False,2013,2.0,бензин,146,вариатор,4WD,внедорожник,148200,2,левый,N/A
Mazda,CX 5,2021,2,False,52021,2.5,бензин,250,АКПП,4WD,внедорожник,22000,1,левый,2.5 AT Signature; полный привод
BMW,6 Series Gran Turismo,2018,1,False,6,2.0,дизель,190,АКПП,4WD,N/A,97416,3,левый,620d AT xDrive Sport Line
Mercedes,Benz GLS Class,2016,1,False,2016,3.0,бензин,333,АКПП,4WD,внедорожник,80000,2,левый,N/A
BMW,X7,2019,1,False,72019,3.0,дизель,249,АКПП,4WD,внедорожник,140000,2,левый,xDrive30d AT Base
Volkswagen,Touareg,2019,3,False,2019,3.0,дизель,249,АКПП,4WD,внедорожник,119000,3,левый,"! Внешний R-Line Black Style; 21"" Оригинальные Диски (Резина Лето + Зима); Двойные Стёкла в круг; Матричные фары с вырезом встречных авто; Матричный подогрев лобового стекла; Панорамная крыша с функцией открывания! Навигация (обновление 2021 года; обновляли у дилера отдельно); Музыка DYNAUDIO с саббуфером; Камера заднего вида; Автопарковка; Помощники перестроения; Удержание полосы; сам рулит практически Автопилот))) Сиденья с Эксклюзивной кожей Nappa благородного Серого цвета; с Массажем; Вентиляцией и Подогревом - ВСЕХ СИДЕНИЙ; Памятью и различными настройками (максимальные; что возможно поставить в Туарег; Очень удобные); Руль с разной степенью подогрева; 4-х зонный климат контроль! Розетка 220V у задних пассажиров; Атмосферная подсветка и многое другое."
Volvo,S60,2003,1,False,602003,2.5,бензин,300,АКПП,4WD,седан,267000,4,левый,2.5R AT AWD; с пробегом; акпп; 2.5 литра; 4 вд; бензин
Hyundai,Santa Fe,2020,4,True,2020,2.2,дизель,202,робот,передний,внедорожник,75000,2,левый,2.2 CRDi 2WD DCT Calligraphy 5 seats
Toyota,Roomy,2017,1,False,2017,1.0,бензин,69,вариатор,передний,"M900A-0028835 Кожаный руль. Стандартные штампованные диски с колпаками имеются. Две электро двери! Стеклоподъёмники на всех дверях Диодная оптика Литые диски за доплату 25000 Комплект жирной зимней резины за доплату 20000 рублей. Полный комплект с зимней резиной на дисках и летней на литых дисках стоит 970000 Отстоял год для обнуления утильсбора Растаможка на физлицо. УТИЛЬСБОР УПЛАЧЕН ПОЛНОСТЬЮ! Год по ЭПТС 2017 , но тут автоматически выдало 2018 и сами пишут, что год не совпадает! Наверное потому, что в ЭПТС и СТС разные годы, так бывает у японцев Машина 17 года считается Пробег родной, а это большая редкость! Цена на обмен 1000 , причём надо иметь в виду, что обмен с вашей доплатой! Цена подарочная, учитывая комплектацию. ПИШИТЕ! На звонки не всегда могу отвечать и иногда система безопасности блокирует. Перезвоню! ОБМЕН с ВАШЕЙ ДОПЛАТОЙ ! Рассмотрим все варианты!",123000,N/A,правый,1.0 Custom G S
Mercedes,Benz G Class,2023,3,False,2023,4.0,бензин,585,робот,4WD,джип/suv 5 дв.,35790,1,левый,G 63 AMG
Cadillac,Escalade,2019,4,False,2019,6.2,бензин,420,АКПП,4WD,джип/suv 5 дв.,115000,2,левый,6.2 AT 4WD ESV Platinum
Mercedes,Benz E Class,2021,5,True,2021,2.0,бензин,197,АКПП,4WD,седан,253000,1,левый,E 200 4MATIC Sport
Toyota,Sienta,2019,2,True,2019,1.5,бензин,103,вариатор,4WD,минивэн,36600,1,правый,1.5 G 4WD
Hyundai,Ioniq 5,2021,1,False,52021,N/A,электро,110,автомат,4WD,хэтчбек 5 дв.,47000,N/A,левый,N/A
Land,Rover Range Rover,2019,4,True,2019,4.4,дизель,339,АКПП,4WD,джип/suv 5 дв.,78500,1,левый,4.4 SDV8 AT Autobiography
BMW,X6,2020,3,False,62020,4.4,бензин,530,АКПП,4WD,внедорожник,50000,2,левый,xDrive M50i AT M Special by Individual
Toyota,Camry,2013,8,False,2013,2.5,бензин,181,АКПП,передний,седан,183000,3,левый,2.5 6AT Premium
Subaru,Legacy,2003,4,False,2003,2.0,бензин,260,АКПП,4WD,универсал,295000,4,правый,N/A
Chery,Tiggo 9,2025,2,False,92025,2.0,бензин,249,АКПП,4WD,внедорожник,N/A,N/A,левый,2.0 TGDI AT AWD Prime
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Active
Chery,Tiggo 4,2025,1,True,42025,1.5,бензин,147,робот,передний,внедорожник,2000,N/A,левый,1.5T DCT Active
Chery,Tiggo 8 Pro Max,2024,1,True,8,1.6,бензин,186,робот,передний,внедорожник,N/A,N/A,левый,1.6T DCT Dreamline; бенз.
Honda,Insight,2009,2,False,2009,1.3,бензин,88,вариатор,передний,лифтбек,197000,2,правый,N/A
Chery,Tiggo 8 Pro Max,2024,1,True,8,2.0,бензин,197,робот,4WD,внедорожник,N/A,N/A,левый,2.0T DCT AWD Ultimate
Chery,Tiggo 8 Pro Max,2024,1,True,8,1.6,бензин,186,робот,передний,внедорожник,N/A,N/A,левый,1.6T DCT Dreamline
Лада,Нива Легенд,2023,1,False,2023,1.7,бензин,83,механика,4WD,джип/suv 3 дв.,31000,2,левый,1.7 MT Luxe
Changan,CS55 Plus,2023,2,False,55,1.5,бензин,181,робот,передний,внедорожник,34797,1,левый,1.5 AMT Luxe
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Active
Toyota,Crown,1997,8,True,1997,2.0,бензин,135,АКПП,задний,универсал,441194,1,правый,2.0 wagon royal extra
Daewoo,Matiz,2013,1,True,2013,1.0,бензин,63,механика,передний,хэтчбек,122000,N/A,левый,1.0 MT BEST DLX
Toyota,Caldina,1998,1,False,1998,1.5,бензин,97,АКПП,передний,универсал,280000,3,правый,1.5 UX
Toyota,Funcargo,2002,1,False,2002,1.3,бензин,88,АКПП,передний,хэтчбек,250000,3,правый,1.3 X
Audi,A3,2013,136,False,32013,1.4,бензин,122,автомат,передний,седан,125374,2,левый,N/A
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Active
Renault,Kaptur,2019,1,False,2019,1.6,бензин,114,вариатор,передний,внедорожник,109000,2,левый,1.6 CVT Extreme
Chery,Tiggo 7 Pro Max,2025,1,True,7,1.6,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.6 GDI 4WD DCT Ultra
Daewoo,Winstorm,2007,1,False,2007,2.0,дизель,150,АКПП,4WD,внедорожник,227500,N/A,N/A,2.0 VGT 4WD LTX 7-pass. Automatic
Chery,Tiggo 7 Pro Max,2025,1,True,7,1.6,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.6 GDI 4WD DCT Ultra
Lexus,RX300,2025,5,False,3002025,2.0,бензин,248,АКПП,4WD,внедорожник,N/A,N/A,левый,2.0 AT 4WD Enjoy
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Active
Hyundai,i40,2015,1,False,402015,2.0,бензин,150,АКПП,передний,седан,110000,4,левый,2.0 AT Business; черный; Кемеровская область
Лада,Гранта,2025,1,True,2025,1.6,бензин,90,механика,передний,седан,11400,1,левый,1.6 MT Classic'24 Кондиционер; седан
Лада,Гранта,2018,1,True,2018,1.6,бензин,106,механика,передний,хэтчбек 5 дв.,113484,1,левый,круиз контроль кондиционер; подогревы сидений; штатная магнитола; электрозеркала; 2 подушки безопасности; парктроники; автозапуск.
Skoda,Octavia,2018,3,True,2018,1.6,бензин,110,АКПП,передний,лифтбек,112000,1,левый,1.6 MPI AT Active
Лада,2109,2002,1,True,21092002,1.5,бензин,78,механика,передний,хэтчбек,1000,4,левый,1.5i MT Люкс
Chery,Tiggo 4 Pro,2025,1,False,4,1.5,бензин,113,вариатор,передний,внедорожник,N/A,N/A,левый,1.5 CVT 18 Years Edition Action
Hyundai,ix35,2011,1,False,352011,2.0,бензин,150,АКПП,4WD,N/A,N/A,N/A,левый,2.0 AT 4WD Style
Opel,Corsa,2008,4,False,2008,1.2,бензин,80,робот,передний,хэтчбек 5 дв.,157000,3,левый,1.2 Easytronic Cosmo 5dr.
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Prime
Honda,Vezel,2024,2,False,2024,1.5,бензин,118,вариатор,передний,RV3*******,N/A,N/A,правый,1.5 G
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Prime; 1.6 литра
Haval,Jolion,2022,1,False,2022,1.5,бензин,150,робот,4WD,N/A,40000,1,левый,1.5 DCT 4WD Premium
Chery,Tiggo 4,2025,1,True,42025,1.5,бензин,147,робот,передний,внедорожник,2000,N/A,левый,1.5T DCT Prime
Daihatsu,Move,2019,6,True,2019,0.7,бензин,52,вариатор,передний,хэтчбек,58000,N/A,правый,660 Custom X
Great,Wall Poer,2025,1,True,2025,2.4,дизель,184,АКПП,4WD,N/A,N/A,N/A,левый,2.4D AT 4WD Premium; 2.4 литра; цена 3.8млн.руб.
Chery,Tiggo 7L,2024,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,Tiggo 7L 1.6 AMT (150 л.с.) Prime
Chery,Tiggo 4 Pro,2025,1,False,4,1.5,бензин,113,вариатор,передний,внедорожник,N/A,N/A,левый,1.5 CVT 18 Years Edition Action
Great,Wall Poer,2024,1,False,2024,2.0,дизель,150,АКПП,4WD,N/A,N/A,N/A,левый,2.0 AT 4WD Premium
Renault,Laguna,2007,2,True,2007,1.6,бензин,112,механика,передний,лифтбек,260000,4,левый,1.6 MT Autentique
Great,Wall Poer KingKong,2025,1,False,2025,2.0,дизель,150,механика,4WD,N/A,N/A,N/A,левый,2.0 MT 4WD Elite
Chery,Tiggo 7L,2025,1,False,7,1.6,бензин,150,робот,передний,внедорожник,N/A,N/A,левый,1.6 TGDI DCT Active
Honda,Capa,2000,1,False,2000,1.5,бензин,98,автомат,передний,хэтчбек,332000,4,правый,Honda Capa 1.5 CVT (98 л.с.)
Great,Wall Poer,2025,1,True,2025,2.0,бензин,190,АКПП,4WD,N/A,N/A,N/A,левый,N/A
BMW,1 Series,2021,2,False,1,1.5,бензин,140,робот,передний,седан,24500,N/A,левый,120i DCT M Sport Night Edition; 1.5 литра; АКПП; седан; передний привод
Лада,Гранта,2014,1,False,2014,1.6,бензин,98,АКПП,передний,седан,99000,4,левый,Lada (ВАЗ) Granta I 1.6 AT (98 л.с.) Comfort 21902-51-23R
Лада,Гранта,2025,1,True,2025,1.6,бензин,90,механика,передний,седан,6000,1,левый,N/A
Chery,Tiggo 7 Pro Max,2025,1,True,7,1.6,бензин,150,робот,4WD,внедорожник,N/A,N/A,левый,1.6 GDI 4WD DCT Ultra
