Mark,Model,Generation,Car_type,Restyling,Fuel,Drive,Transmissions,Boost_type,Engine_Location,Country,Engine_volume,Maximum_power,Cylinders,Length,Width,Height,Curb_weight_kg,Clearance,Trunk_volume_max,Consumption_average,Expense_city,Expense_track,Maximum_speed,Speed_to_100,Year,Price
Acura,Integra,2,Sedan,Yes,Diesel,FWD,Manual,None,Front,South Korea,1.9,180,6,5187,1601,1883,1632,242,544,3.2,4.4,2.6,195,14.1,2003,8150000
Acura,Integra,1,SUV,Yes,Petrol,4WD,CVT,Supercharger,Front,China,4.7,597,4,4909,1691,1537,1668,225,463,13.6,19.7,12.8,184,6.2,2004,14031000
Acura,Integra,5,Hatchback,Yes,Petrol,4WD,Manual,Supercharger,Front,Japan,2.3,534,3,4645,1678,1585,1575,229,695,3.2,3.9,2.6,292,4.8,2020,14314000
Acura,Integra,2,Crossover,Yes,Petrol,AWD,Dual-clutch,Supercharger,Front,Germany,2.0,375,5,3772,1811,1467,2363,124,401,10.7,11.8,8.8,187,5.6,2016,9134000
Acura,Integra,5,Roadster,No,Hybrid,FWD,Dual-clutch,Supercharger,Rear,France,3.8,464,5,4429,1836,1672,1889,182,618,13.0,18.1,12.3,267,6.0,2006,4528000
Acura,Integra,4,SUV,Yes,Electric,RWD,Manual,Turbo,Middle,South Korea,2.1,530,8,3531,1946,1869,1327,140,581,3.0,3.5,2.6,208,9.6,2025,1655000
Acura,Integra,3,Coupe,Yes,Petrol,FWD,Dual-clutch,Supercharger,Front,South Korea,1.9,293,6,5027,1954,1619,1909,245,225,14.5,20.1,11.8,287,13.9,2016,7646000
Acura,Legend,4,Coupe,No,Hybrid,FWD,Manual,None,Rear,Italy,1.1,253,5,4601,1609,1862,991,243,566,8.5,9.5,7.0,225,5.8,2022,10523000
Acura,Legend,3,Coupe,No,Petrol,4WD,Dual-clutch,Turbo,Front,Japan,1.4,420,12,4843,1701,1569,984,224,624,6.3,8.2,5.5,174,10.0,2017,863000
Acura,Legend,4,Pickup,No,Petrol,RWD,Manual,None,Front,USA,4.6,328,4,4993,1749,1720,1676,235,382,8.9,10.1,7.3,240,4.8,2021,8195000
Acura,Legend,1,MPV,Yes,Petrol,AWD,CVT,Turbo,Rear,Germany,4.4,500,3,3629,1664,1739,2206,124,676,11.4,15.2,9.5,156,14.5,2016,6566000
Acura,Legend,1,Coupe,Yes,Electric,AWD,Dual-clutch,None,Rear,France,3.3,100,4,4018,1760,1806,1844,240,330,6.7,8.1,6.2,314,12.8,2014,7250000
Acura,Legend,5,Pickup,No,Diesel,RWD,Automatic,Turbo,Middle,USA,4.5,309,8,4410,1619,1656,1463,235,648,10.0,14.0,9.6,192,10.4,2006,10806000
Acura,Legend,3,Hatchback,No,Petrol,AWD,Manual,Turbo,Front,France,1.6,283,6,4285,1846,1803,1640,244,410,13.5,19.4,12.7,179,14.1,2021,8211000
Acura,Legend,4,Sedan,No,Petrol,4WD,Manual,Turbo,Front,China,2.1,264,5,4266,1714,1422,1791,242,402,5.0,6.7,4.4,297,4.7,2022,3990000
Acura,Legend,4,Roadster,Yes,Petrol,4WD,Automatic,Turbo,Rear,South Korea,3.7,100,5,3551,1654,1735,909,211,484,5.8,6.4,5.4,261,5.2,2007,9203000
Acura,Legend,5,SUV,No,Petrol,FWD,Manual,None,Middle,Sweden,1.9,291,6,4822,1739,1624,2056,241,426,10.0,13.3,8.3,306,11.7,2022,1467000
Acura,Legend,4,SUV,No,Hybrid,FWD,Automatic,Supercharger,Middle,UK,4.8,266,3,4880,1968,1459,2322,184,548,3.8,5.6,3.6,203,10.3,2022,2985000
Acura,Legend,4,Coupe,No,Diesel,RWD,Manual,Turbo,Middle,Sweden,5.0,182,3,5101,1904,1820,1373,204,230,10.6,14.3,10.1,169,6.5,2011,8342000
Acura,Legend,2,Sedan,No,Diesel,RWD,CVT,Supercharger,Rear,UK,2.4,99,5,3527,1732,1752,1909,215,304,14.0,19.3,13.8,226,7.7,2024,14426000
Acura,Legend,5,MPV,Yes,Diesel,RWD,Dual-clutch,Supercharger,Rear,Sweden,3.3,109,6,4376,1805,1654,2236,202,426,7.7,10.3,6.9,176,3.7,2011,13396000
Acura,Legend,5,Pickup,Yes,Hybrid,FWD,Manual,None,Front,Japan,4.6,600,4,3565,1679,1750,1996,237,685,14.4,19.6,11.9,207,10.1,2004,6804000
Acura,Legend,1,Pickup,No,Hybrid,4WD,CVT,Supercharger,Middle,USA,2.4,533,8,4660,1645,1547,2191,156,206,4.5,6.5,4.2,141,6.0,2023,2506000
Acura,Legend,4,Pickup,No,Petrol,RWD,Automatic,None,Rear,USA,3.3,491,4,4415,1945,1597,2185,212,233,11.5,14.8,9.9,159,13.6,2014,13167000
Acura,Legend,1,Sedan,Yes,Hybrid,FWD,Dual-clutch,Turbo,Rear,Germany,1.3,155,6,4470,1713,1683,1965,129,332,4.5,6.4,4.2,204,14.9,2023,3193000
Acura,Legend,2,Hatchback,Yes,Diesel,FWD,Dual-clutch,Turbo,Rear,Sweden,1.9,302,8,3993,1811,1756,2128,243,271,11.3,16.3,10.6,176,6.5,2006,13615000
Acura,Legend,5,MPV,Yes,Electric,RWD,CVT,Turbo,Middle,South Korea,3.0,365,3,5177,1958,1491,2355,135,612,8.1,10.0,7.3,184,11.7,2011,8702000
Acura,MDX,1,Crossover,No,Petrol,RWD,Dual-clutch,Turbo,Front,Sweden,1.0,537,8,4234,1945,1704,1823,151,695,8.0,11.7,7.5,192,10.7,2023,1605000
Acura,MDX,5,Crossover,No,Diesel,4WD,Automatic,Turbo,Front,Germany,1.3,144,6,4883,1927,1710,1522,169,276,13.5,18.9,13.4,258,10.2,2007,3282000
Acura,MDX,3,MPV,No,Petrol,FWD,Dual-clutch,Turbo,Middle,South Korea,2.6,239,6,5014,1713,1565,2405,120,276,3.5,4.0,2.8,195,11.0,2025,3928000
Acura,MDX,2,Roadster,Yes,Diesel,FWD,Manual,None,Rear,Japan,3.3,422,4,4624,1651,1718,2123,174,589,9.4,11.6,7.8,230,9.2,2024,8289000
Acura,MDX,2,SUV,No,Petrol,FWD,Dual-clutch,Supercharger,Front,South Korea,2.0,533,6,5096,1960,1657,1918,215,344,3.3,4.9,3.1,237,14.0,2017,9034000
Acura,MDX,1,Roadster,No,Diesel,4WD,Manual,None,Rear,UK,2.2,598,3,4061,1818,1820,2170,248,235,12.3,17.3,11.2,271,13.1,2003,9459000
Acura,MDX,1,SUV,Yes,Petrol,FWD,CVT,Supercharger,Front,UK,3.7,263,5,3918,1601,1589,2294,206,522,12.5,18.7,10.6,249,4.4,2015,9601000
Acura,MDX,5,MPV,Yes,Electric,AWD,Manual,Supercharger,Front,Italy,3.6,80,5,4832,1634,1552,1323,162,308,10.1,12.4,9.6,246,10.1,2006,8083000
Acura,MDX,5,Roadster,Yes,Electric,4WD,Manual,Turbo,Front,UK,3.7,387,5,4561,1976,1762,963,174,483,4.1,4.7,4.0,164,7.8,2012,7090000
Acura,MDX,1,Hatchback,No,Electric,FWD,Manual,None,Front,South Korea,4.9,141,3,4766,1932,1850,1531,132,366,11.6,16.6,10.9,187,14.6,2001,3353000
Acura,MDX,1,SUV,No,Diesel,AWD,Automatic,Turbo,Middle,France,2.6,511,5,5194,1648,1622,2429,234,585,6.5,7.2,6.3,302,7.4,2015,2661000
Acura,MDX,4,MPV,No,Diesel,FWD,Manual,Supercharger,Front,France,1.8,214,4,5075,1640,1833,929,207,454,8.0,9.4,6.9,202,7.1,2022,12892000
Acura,MDX,2,Coupe,No,Electric,FWD,Dual-clutch,Turbo,Front,China,3.5,139,8,4951,1919,1471,1960,179,443,9.7,11.2,9.2,190,8.4,2003,1262000
Acura,MDX,4,SUV,Yes,Electric,RWD,Manual,Supercharger,Middle,Sweden,3.1,385,5,3629,1809,1627,1038,199,510,13.4,19.5,11.6,190,4.3,2022,11408000
Acura,MDX,5,Pickup,Yes,Diesel,AWD,Dual-clutch,None,Middle,Sweden,4.9,591,3,3891,1677,1526,2327,183,466,11.9,14.7,9.6,213,5.5,2013,6135000
Acura,MDX,2,MPV,No,Diesel,AWD,Dual-clutch,Turbo,Front,USA,2.0,530,12,3521,1610,1567,2205,188,491,13.5,16.7,13.4,149,10.7,2022,3912000
Acura,MDX,2,Pickup,Yes,Petrol,4WD,Dual-clutch,Supercharger,Middle,Germany,4.7,420,6,4744,1808,1480,2096,245,452,12.2,15.5,10.0,142,4.4,2007,5607000
Acura,MDX,5,Coupe,No,Hybrid,RWD,CVT,Supercharger,Front,Italy,1.5,270,3,3943,1802,1439,1082,124,564,9.8,11.9,9.2,291,7.2,2013,3493000
Acura,MDX,4,SUV,No,Diesel,4WD,CVT,Turbo,Front,China,2.6,483,6,5057,1797,1899,2399,189,534,13.3,18.1,12.4,280,8.5,2017,14900000
Acura,MDX,3,Hatchback,Yes,Electric,RWD,CVT,Turbo,Middle,UK,1.6,451,12,4779,1965,1428,1259,229,593,5.4,7.2,4.8,192,8.7,2014,5918000
Acura,MDX Hybrid,4,MPV,Yes,Hybrid,4WD,Automatic,Supercharger,Front,Italy,0,118,0,3927,1927,1521,2191,218,306,0,0.0,0.0,176,10.2,2002,5601000
Acura,MDX Hybrid,1,Roadster,Yes,Diesel,FWD,Dual-clutch,Supercharger,Front,Japan,0,379,0,3720,1601,1566,2176,152,549,0,0.0,0.0,147,10.1,2018,6930000
Acura,MDX Hybrid,5,Pickup,Yes,Diesel,FWD,CVT,Turbo,Rear,UK,0,328,0,4891,1872,1406,1172,205,391,0,0.0,0.0,227,13.9,2006,9464000
Acura,MDX Hybrid,2,Hatchback,Yes,Petrol,FWD,Automatic,Turbo,Rear,France,0,230,0,4241,1653,1856,1735,136,558,0,0.0,0.0,176,14.6,2005,4692000
Acura,MDX Hybrid,2,Roadster,Yes,Petrol,FWD,Dual-clutch,Supercharger,Front,USA,0,123,0,4673,1938,1707,1207,197,275,0,0.0,0.0,223,6.4,2006,747000
Acura,MDX Hybrid,1,Sedan,Yes,Diesel,FWD,Manual,None,Middle,China,0,442,0,3810,1727,1497,1942,138,512,0,0.0,0.0,237,7.6,2013,7339000
Acura,MDX Hybrid,3,Crossover,No,Electric,FWD,Dual-clutch,Turbo,Front,France,0,298,0,4521,1606,1455,2106,189,200,0,0.0,0.0,201,4.3,2023,11186000
Acura,MDX Hybrid,2,Sedan,Yes,Electric,FWD,Manual,Turbo,Rear,Germany,0,438,0,4821,1977,1627,2350,248,286,0,0.0,0.0,207,10.8,2008,10820000
Acura,MDX Hybrid,5,MPV,No,Petrol,FWD,Dual-clutch,Supercharger,Rear,Italy,0,294,0,3587,1758,1598,1388,154,543,0,0.0,0.0,229,10.6,2021,3453000
Acura,MDX Hybrid,4,MPV,Yes,Petrol,4WD,Manual,Supercharger,Middle,Germany,0,191,0,4464,1799,1563,1232,246,579,0,0.0,0.0,148,7.2,2025,10829000
Acura,MDX Hybrid,4,Crossover,Yes,Diesel,AWD,Automatic,None,Front,China,0,363,0,3674,1914,1801,1735,136,229,0,0.0,0.0,157,9.7,2021,8959000
Acura,MDX Hybrid,4,Crossover,Yes,Diesel,RWD,Dual-clutch,None,Front,Japan,0,355,0,4694,1816,1728,1542,145,534,0,0.0,0.0,318,9.1,2006,10075000
Acura,MDX Hybrid,3,Hatchback,No,Hybrid,AWD,Automatic,Supercharger,Rear,Italy,0,334,0,3941,1724,1415,1793,194,479,0,0.0,0.0,242,6.0,2003,14675000
Acura,MDX Hybrid,2,Crossover,No,Diesel,RWD,CVT,Turbo,Middle,South Korea,0,286,0,4852,1961,1478,1009,178,439,0,0.0,0.0,166,6.9,2003,12932000
Acura,MDX Hybrid,3,Sedan,No,Petrol,RWD,Manual,None,Middle,China,0,201,0,3664,1868,1577,2138,167,213,0,0.0,0.0,255,5.8,2016,11140000
Acura,MDX Hybrid,1,Sedan,Yes,Electric,AWD,Dual-clutch,None,Middle,Japan,0,273,0,3817,1687,1847,1264,232,219,0,0.0,0.0,274,9.7,2000,14783000
Acura,MDX Hybrid,2,MPV,Yes,Diesel,4WD,CVT,Supercharger,Middle,Sweden,0,293,0,5040,1705,1703,2451,209,572,0,0.0,0.0,258,7.8,2003,4384000
Acura,MDX Hybrid,2,Roadster,Yes,Electric,RWD,Manual,Turbo,Rear,France,0,274,0,4069,1932,1800,1508,139,599,0,0.0,0.0,192,9.1,2019,4745000
Acura,MDX Hybrid,4,Coupe,Yes,Hybrid,FWD,Automatic,None,Middle,China,0,147,0,4593,1711,1565,1656,130,682,0,0.0,0.0,272,13.3,2013,8056000
Acura,MDX Hybrid,5,Pickup,Yes,Diesel,RWD,CVT,Supercharger,Middle,Italy,0,389,0,3842,1744,1743,2490,148,567,0,0.0,0.0,182,7.2,2008,8357000
Acura,NSX,3,MPV,Yes,Electric,4WD,CVT,Turbo,Middle,South Korea,3.2,489,4,4859,1959,1462,1553,248,545,13.7,19.0,13.1,319,8.9,2019,10767000
Acura,NSX,5,Sedan,Yes,Diesel,RWD,CVT,None,Middle,Germany,3.9,425,4,5184,1669,1457,1018,151,253,11.3,16.9,10.1,230,4.5,2010,11427000
Acura,NSX,2,Coupe,Yes,Hybrid,AWD,Automatic,None,Middle,UK,2.2,535,6,4240,1866,1862,2239,161,614,7.4,10.3,6.7,211,11.0,2017,10734000
Acura,NSX,4,SUV,Yes,Electric,FWD,Automatic,Turbo,Rear,Sweden,1.6,587,4,3583,1708,1822,2107,204,326,4.1,5.6,3.9,293,6.4,2017,13779000
Acura,NSX,3,Roadster,No,Hybrid,AWD,CVT,None,Rear,Germany,3.7,277,6,4594,1733,1793,1820,231,487,13.7,15.4,11.7,219,6.4,2008,10872000
Acura,NSX,5,Coupe,No,Electric,FWD,Automatic,None,Middle,Sweden,3.2,418,5,5199,1770,1458,1562,228,562,13.7,16.4,12.9,249,13.1,2013,14938000
Acura,NSX,1,Roadster,Yes,Petrol,4WD,Automatic,Turbo,Middle,Sweden,3.4,140,12,4488,1983,1836,1253,128,411,12.1,13.9,10.7,179,13.1,2014,10595000
Acura,NSX,5,Coupe,Yes,Diesel,FWD,Automatic,Turbo,Rear,Italy,5.0,430,5,4947,1683,1707,2134,222,672,9.0,11.3,8.3,199,7.9,2004,11397000
Acura,NSX,1,Hatchback,No,Hybrid,FWD,Dual-clutch,Supercharger,Middle,France,3.7,237,6,4678,1923,1416,2450,238,673,6.9,9.0,5.8,148,4.8,2000,7637000
Acura,NSX,3,SUV,Yes,Diesel,AWD,CVT,Supercharger,Middle,Sweden,4.1,116,4,4422,1785,1816,1394,178,640,14.1,20.8,11.6,180,5.5,2015,925000
Acura,NSX,5,MPV,Yes,Diesel,FWD,CVT,Supercharger,Middle,Japan,3.2,244,8,3805,1939,1603,1716,208,636,12.8,15.7,11.3,264,4.7,2009,11265000
Acura,NSX,1,Coupe,Yes,Hybrid,RWD,Dual-clutch,None,Rear,USA,4.0,599,4,4964,1660,1530,1827,160,361,6.0,8.1,5.1,162,7.2,2014,11838000
Acura,NSX,4,Sedan,Yes,Electric,4WD,Automatic,Turbo,Middle,Japan,2.1,445,12,3883,1951,1521,2022,162,328,12.5,14.1,11.5,273,11.3,2003,12465000
Acura,NSX,1,Roadster,No,Diesel,FWD,Dual-clutch,Turbo,Middle,France,4.4,102,4,4158,1900,1715,2410,166,503,12.2,15.6,10.9,294,6.6,2024,14399000
Acura,NSX,4,Crossover,Yes,Electric,4WD,Manual,None,Middle,Japan,2.7,107,5,3504,1749,1478,1682,177,213,9.8,13.8,8.3,209,7.6,2009,3025000
Acura,NSX,4,Coupe,Yes,Petrol,4WD,Manual,Turbo,Rear,UK,2.8,368,3,5158,1963,1688,1743,139,628,13.0,17.8,12.1,228,4.2,2007,8513000
Acura,NSX,3,Roadster,Yes,Hybrid,4WD,Automatic,Supercharger,Middle,China,1.7,436,3,4795,1778,1786,2054,141,644,5.4,6.5,5.2,239,3.9,2020,12263000
Acura,NSX,2,MPV,No,Hybrid,AWD,Dual-clutch,None,Front,Sweden,3.3,594,3,4345,1770,1520,1856,161,594,7.7,10.1,7.1,261,7.6,2007,11416000
Acura,NSX,4,Coupe,No,Hybrid,FWD,Dual-clutch,None,Front,USA,3.3,290,5,3560,1992,1613,1398,144,218,6.1,8.1,5.3,171,4.5,2024,1802000
Acura,NSX,3,Sedan,No,Electric,FWD,Dual-clutch,Turbo,Middle,Italy,1.6,145,4,3906,1788,1701,1832,202,247,7.4,8.8,6.0,292,4.3,2016,9187000
Acura,RDX,2,Crossover,No,Petrol,RWD,Dual-clutch,None,Rear,South Korea,4.5,88,6,5155,1944,1886,1101,166,315,4.2,5.9,3.7,171,9.1,2002,11897000
Acura,RDX,2,Sedan,Yes,Diesel,RWD,CVT,Supercharger,Front,Italy,4.6,576,4,3829,1670,1799,1775,170,644,14.6,17.2,13.6,282,4.7,2023,5112000
Acura,RDX,3,Crossover,Yes,Petrol,RWD,Manual,Supercharger,Front,China,4.8,280,8,3720,1604,1639,2144,194,361,13.7,20.3,13.1,186,8.8,2017,12786000
Acura,RDX,3,MPV,Yes,Electric,4WD,Manual,None,Middle,UK,1.2,485,5,4533,1920,1787,2197,194,410,7.7,9.6,7.7,263,6.4,2023,5940000
Acura,RDX,1,MPV,No,Petrol,AWD,Automatic,Turbo,Middle,Sweden,1.5,409,3,4739,1772,1512,2017,186,394,3.5,4.3,3.0,240,12.9,2001,3576000
Acura,RDX,3,Sedan,No,Hybrid,4WD,Dual-clutch,Supercharger,Middle,USA,4.4,158,8,4805,1645,1633,2338,172,322,6.6,8.0,5.8,214,12.2,2002,13840000
Acura,RDX,1,Sedan,No,Electric,RWD,Dual-clutch,Supercharger,Middle,South Korea,2.1,386,6,3997,1769,1715,1652,161,454,5.1,6.5,4.3,284,7.8,2014,4034000
