brand,model,year,generation,price,price_num,engine,power_l_s,transmission,drive,body_type,mileage,owners_count,steering,equipment
Kia,K8,2021,1 поколение,N/A,N/A,"бензин, 2.5 л",198,АКПП,передний,N/A,39 529 км,1,левый,2.5 GDI AT 2WD Nobless
Voyah,Free,2024,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л, гибрид",150,АКПП,4WD,джип/suv 5 дв.,"80 км , без пробега по РФ",N/A,левый,1.5 EVR Sport Edition
Nissan,Cedric,1990,7 поколение,N/A,N/A,"бензин, 3.0 л",160,АКПП,задний,седан,333 333 км,4,правый,3.0 Brougham; АКПП; седан; бензин
Mercedes,Benz V Class,2017,3 поколение,N/A,N/A,"дизель, 2.1 л",163,АКПП,4WD,N/A,129 300 км,2,левый,220 d AT 4MATIC Avantgarde Длинный
Mercedes,Benz Vito,2013,"2 поколение, рестайлинг",N/A,N/A,"дизель, 2.1 л",136,АКПП,4WD,N/A,82 218 км,3,левый,113 CDI 4x4 AT L2
Cadillac,Escalade,2025,"5 поколение, рестайлинг",N/A,N/A,"бензин, 6.2 л",682,АКПП,4WD,джип/suv 5 дв.,"18 км , без пробега по РФ",N/A,левый,6.2 AT AWD Escalade-V; цена 27990000рублей
Cadillac,Escalade,2025,"5 поколение, рестайлинг",N/A,N/A,"бензин, 6.2 л",682,АКПП,4WD,джип/suv 5 дв.,"30 км , без пробега по РФ",N/A,левый,6.2 AT AWD Escalade-V ESV
Toyota,Sequoia,2025,3 поколение,N/A,N/A,"бензин, 3.4 л, гибрид",437,АКПП,4WD,N/A,"327 км , без пробега по РФ",N/A,левый,3.4 AT TRD Pro
Toyota,Sequoia,2023,3 поколение,N/A,N/A,"бензин, 3.4 л, гибрид",437,АКПП,4WD,N/A,12 237 км,1,левый,3.4 AT Capstone
BMW,X7,2023,N/A,N/A,N/A,"бензин, 4.4 л",530,автомат,4WD,N/A,7 200 км,1,левый,BMW X7 I (G07) Рестайлинг M60i 4.4 AT (530 л.с.) 4WD M60i xDrive Sport Pro
Toyota,Sequoia,2025,3 поколение,N/A,N/A,"бензин, 3.4 л, гибрид",437,АКПП,4WD,N/A,"512 км , без пробега по РФ",N/A,левый,3.4 AT TRD Pro
Nissan,Armada,2025,N/A,N/A,N/A,"бензин, 3.5 л",425,автомат,4WD,N/A,"29 км , без пробега по РФ",N/A,левый,Nissan Armada III 3.5 AT (425 л.с.) 4WD Pro-4X
Lamborghini,Urus,2021,1 поколение,N/A,N/A,"бензин, 4.0 л",650,АКПП,4WD,N/A,"40 553 км , без пробега по РФ",N/A,левый,Lamborghini Urus I 4.0 AT (650 л.с.) 4WD Individual
Toyota,Highlander,2014,3 поколение,N/A,N/A,"бензин, 3.5 л",249,АКПП,4WD,N/A,276 000 км,1,левый,3.5 AT 4WD Люкс
Hyundai,Santa Fe,2025,5 поколение,N/A,N/A,"бензин, 2.0 л",247,автомат,4WD,N/A,новый автомобиль,N/A,левый,Connoisseur UltrA
Toyota,Sequoia,2025,3 поколение,N/A,N/A,"бензин, 3.4 л, гибрид",437,АКПП,4WD,N/A,23 км,1,левый,3.4 AT Capstone; бензин; автомат; 3.4 литра; 4WD; левый руль; гибрид
Cadillac,Escalade,2024,"5 поколение, рестайлинг",N/A,N/A,"бензин, 6.2 л",420,АКПП,4WD,джип/suv 5 дв.,"22 км , без пробега по РФ",N/A,левый,6.2 AT AWD Sport Platinum
Lamborghini,Urus,2025,1 поколение,N/A,N/A,"бензин, 4.0 л, гибрид",620,АКПП,4WD,N/A,"73 км , без пробега по РФ",N/A,левый,PHEV 4.0 AT SE
RAM,1500,2025,"2 поколение, рестайлинг",N/A,N/A,"бензин, 3.0 л",540,АКПП,4WD,N/A,"68 км , без пробега по РФ",N/A,левый,3.0 AT 4x4 RHO Crew Cab Short Box
Volvo,XC60,2018,2 поколение,N/A,N/A,"бензин, 2.0 л",249,АКПП,4WD,N/A,217 000 км,2,левый,2.0 T5 AWD Geartronic Momentum
BMW,X7,2025,N/A,N/A,N/A,"бензин, 4.4 л",530,автомат,4WD,N/A,"40 км , без пробега по РФ",N/A,левый,BMW X7 I (G07) Рестайлинг M60i 4.4 AT (530 л.с.) 4WD M60i xDrive Sport Pro
Mercedes,Benz GLS Class,2024,"2 поколение, рестайлинг",N/A,N/A,"бензин, 3.0 л",381,АКПП,4WD,N/A,"50 км , без пробега по РФ",N/A,левый,Mercedes-Maybach GLS 480 4MATIC; черный
Audi,A4,2013,"4 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",225,робот,4WD,седан,116 000 км,4,левый,2.0 TFSI quattro S Tronic Sport; с пробегом; пробег 116000 км; седан; 4вд
Nissan,Skyline,1988,7 поколение,N/A,N/A,"бензин, 2.0 л",150,механика,задний,седан,109 000 км,2,правый,2.0 GT Passage twincam 24V
Toyota,Land Cruiser,2022,12 поколение,N/A,N/A,"бензин, 3.4 л",415,АКПП,4WD,джип/suv 5 дв.,8 000 км,1,левый,N/A
Ford,Mondeo,2013,"4 поколение, рестайлинг",N/A,N/A,"дизель, 1.6 л",115,механика,передний,универсал,220 000 км,1,левый,1.6 TDCi MT ECOnetic Titanium
Nissan,Qashqai,2025,"2 поколение, 2 рестайлинг",N/A,N/A,"бензин, 2.0 л",151,вариатор,передний,N/A,новый автомобиль,N/A,левый,- кожанная отделка
Renault,Sandero,2018,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",82,механика,передний,N/A,86 000 км,N/A,левый,1.6 MT Access
Hyundai,i40,2012,1 поколение,N/A,N/A,"бензин, 2.0 л",150,АКПП,передний,седан,290 000 км,1,левый,2.0 AT Premium
Mercedes,Benz S Class,2006,5 поколение,N/A,N/A,"бензин, 5.5 л",517,АКПП,задний,седан,263 000 км,3,левый,S 600 AT L
Kia,Sorento,2012,2 поколение,N/A,N/A,"бензин, 2.4 л",175,АКПП,4WD,джип/suv 5 дв.,254 000 км,3,левый,2.4 Luxe AT
Cadillac,Escalade,2019,4 поколение,N/A,N/A,"бензин, 6.2 л",420,АКПП,4WD,джип/suv 5 дв.,115 000 км,2,левый,6.2 AT 4WD ESV Platinum
Mercedes,Benz GLC Coupe,2017,1 поколение,N/A,N/A,"бензин, 2.0 л",211,АКПП,4WD,N/A,74 376 км,2,левый,GLC 250 4MATIC
Kia,Sorento,2019,"2 поколение, рестайлинг",N/A,N/A,"бензин, 2.4 л, ГБО",175,АКПП,4WD,джип/suv 5 дв.,260 000 км,1,левый,2.4 AT Comfort
Kia,Rio,2013,3 поколение,N/A,N/A,"бензин, 1.6 л",123,АКПП,передний,седан,83 000 км,1,левый,1.6 AT Prestige; 1.6 л.; автоматическая коробка
Hyundai,Tucson,2020,"3 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",150,АКПП,передний,"00 на работе, могу не ответить, как только с работы выйду сразу отвечу.",119 000 км,1,левый,2.0 AT 2WD Way
Mercedes,Benz S Class,2019,"6 поколение, рестайлинг",N/A,N/A,"бензин, 4.0 л",469,АКПП,4WD,седан,89 000 км,2,левый,Mercedes-Maybach S 560 4MATIC
Ford,Mondeo,2010,"4 поколение, рестайлинг",N/A,N/A,"бензин, 2.3 л",160,АКПП,передний,универсал,170 000 км,3,левый,N/A
Kia,K8,2025,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л, гибрид",180,АКПП,передний,N/A,"15 км , без пробега по РФ",N/A,левый,HEV 1.6 T-GDI AT 2WD Signature Black
Nissan,Qashqai,2021,"2 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",144,вариатор,4WD,N/A,99 000 км,1,левый,2.0 CVT 4WD SE+; 2 литр; левый руль
Land,Rover Discovery Sport,2015,1 поколение,N/A,N/A,"бензин, 2.0 л",240,АКПП,4WD,N/A,150 000 км,3,левый,2.0 Si4 AT AWD HSE Luxury
Land,Rover Range Rover Sport,2014,2 поколение,N/A,N/A,"бензин, 5.0 л",510,АКПП,4WD,N/A,190 000 км,2,левый,5.0 S/C AT Autobiography Dynamic
Lexus,LM350h,2025,2 поколение,N/A,N/A,"бензин, 2.5 л, гибрид",190,вариатор,4WD,N/A,новый автомобиль,N/A,левый,2.5h CVT VIP+ Казахстан; бензин; 4вд
SsangYong,Rexton Sports,2023,N/A,N/A,N/A,"дизель, 2.2 л",187,автомат,4WD,"большой, сбалансированный, комфортный, надежный, экономичный, пикап с полноценной кабиной, кузов для груза и буксировка прицепа.","1 км , без пробега по РФ",N/A,левый,N/A
Tesla,Model X,2022,"1 поколение, рестайлинг",N/A,N/A,электро,1020,АКПП,4WD,N/A,10 000 км,1,левый,130D kWh Plaid; электро; коробка автомат; 4 вд
Mercedes,Benz E Class,2025,6 поколение,N/A,N/A,"дизель, 2.0 л",197,АКПП,4WD,седан,"1 020 км , без пробега по РФ",N/A,левый,E 220d AТ 4MATIC AMG Line Premium
Jaguar,I Pace,2018,1 поколение,N/A,N/A,электро,400,АКПП,4WD,N/A,66 500 км,2,левый,N/A
Lexus,LX570,2014,"3 поколение, рестайлинг",N/A,N/A,"бензин, 5.7 л",367,АКПП,4WD,N/A,250 000 км,2,левый,8 мест. настоящий пробег; цвет черный; полный привод; бензин
Chery,Tiggo 7 Pro Max,2024,1 поколение,N/A,N/A,"бензин, 1.6 л",150,робот,4WD,N/A,18 000 км,2,левый,1.6 GDI DCT AWD Ultimate
Infiniti,QX80,2013,1 поколение,N/A,N/A,"бензин, 5.6 л",405,АКПП,4WD,N/A,170 000 км,1,левый,5.6 AWD Hi-tech (8-местный)
BMW,3 Series,2013,6 поколение,N/A,N/A,"бензин, 1.6 л",136,АКПП,задний,седан,171 334 км,4,левый,316i AT; стоимость 1.7млн.р.
Mercedes,Benz GLS Class,2020,2 поколение,N/A,N/A,"дизель, 2.9 л",330,АКПП,4WD,N/A,180 000 км,1,левый,GLS 400 d 4MATIC
Skoda,Karoq,2020,1 поколение,N/A,N/A,"бензин, 1.4 л",150,АКПП,передний,N/A,152 000 км,2,левый,1.4 TSI AT Style
Toyota,Land Cruiser,2017,"11 поколение, 2 рестайлинг",N/A,N/A,"дизель, 4.5 л",249,АКПП,4WD,джип/suv 5 дв.,138 000 км,4,левый,4.5 TD AT Excalibur
Skoda,Superb,2017,3 поколение,N/A,N/A,"бензин, 2.0 л",220,робот,передний,лифтбек,183 000 км,1,левый,2.0 TSI DSG L&K
Mercedes,Benz S Class,2025,7 поколение,N/A,N/A,"бензин, 4.0 л, гибрид",503,АКПП,4WD,седан,новый автомобиль,N/A,левый,Mercedes-Maybach S580
Hyundai,Palisade,2023,"1 поколение, рестайлинг",N/A,N/A,"дизель, 2.2 л",202,АКПП,4WD,N/A,65 000 км,1,левый,2.2 CRDI AT 4WD Calligraphy 7 seats
Xiaomi,SU7,2024,1 поколение,N/A,N/A,электро,673,АКПП,4WD,N/A,50 км,1,левый,101 kWh Max
BMW,Z4,2020,3 поколение,N/A,N/A,"бензин, 2.0 л",197,АКПП,задний,открытый,44 000 км,1,левый,sDrive 20i AT M Sport
Volkswagen,Touran,2012,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.4 л",140,робот,передний,N/A,240 000 км,3,левый,1.4 TSI DSG Highline 7 мест
Toyota,Sienta,2013,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",110,вариатор,передний,N/A,157 000 км,1,правый,1.5 Dice
BMW,5 Series,2019,7 поколение,N/A,N/A,"дизель, 2.0 л",190,АКПП,4WD,универсал,198 000 км,2,левый,520d AT xDrive SportLine
Honda,Civic,2019,"10 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л",180,вариатор,передний,хэтчбек 5 дв.,"49 000 км , без пробега по РФ",N/A,левый,1.5T LL-CVT Sport; акпп; хэтчбек 5 дв.
BMW,X6,2025,N/A,N/A,N/A,"дизель, 3.0 л",352,автомат,4WD,N/A,новый автомобиль,N/A,левый,N/A
Land,Rover Range Rover,2018,"4 поколение, рестайлинг",N/A,N/A,"дизель, 4.4 л",339,АКПП,4WD,джип/suv 5 дв.,176 000 км,3,левый,N/A
Toyota,Land Cruiser,2022,12 поколение,N/A,N/A,"дизель, 3.3 л",299,АКПП,4WD,джип/suv 5 дв.,17 600 км,2,левый,N/A
Voyah,Dream,2024,1 поколение,N/A,N/A,"1.5 л, гибрид",422,автомат,4WD,"Коммерческий утиль снят в 2025 году. В МАКСИМАЛЬНОЙ КОМПЛЕКТАЦИИ, СО ВСЕМИ ВОЗМОЖНЫМИ ДОПАМИ. С авто в комплекте идёт: -Коврики Документы выданы Авто готов к постановке на учет!",15 000 км,1,левый,N/A
Hyundai,Tucson,2015,3 поколение,N/A,N/A,"бензин, 2.0 л",149,АКПП,передний,N/A,73 300 км,2,левый,2.0 AT 2WD Comfort; белый
Haval,Jolion,2023,1 поколение,N/A,N/A,"бензин, 1.5 л",143,робот,передний,N/A,11 000 км,2,левый,1.5 DCT Premium
Audi,A6,2010,"3 поколение, рестайлинг",N/A,N/A,"бензин, 2.8 л",190,вариатор,передний,седан,64 456 км,2,левый,2.8 FSI multitronic
OMODA,C5,2023,1 поколение,N/A,N/A,"бензин, 1.6 л",150,робот,4WD,N/A,21 600 км,1,левый,1.6T DCT AWD Supreme
Toyota,RAV4,2011,"3 поколение, 2 рестайлинг",N/A,N/A,"бензин, 2.0 л",158,вариатор,4WD,джип/suv 5 дв.,176 600 км,3,левый,N/A
Mercedes,Benz G Class,2024,3 поколение,N/A,N/A,"бензин, 4.0 л",585,робот,4WD,джип/suv 5 дв.,новый автомобиль,N/A,левый,G 63 AMG; серый; джип/suv 5 дв.; 4вд; автомат
Renault,Logan,2016,2 поколение,N/A,N/A,"бензин, 1.6 л",82,механика,передний,седан,83 000 км,2,левый,1.6 MT Luxe Privilege
Kia,Ceed,2019,3 поколение,N/A,N/A,"бензин, 1.6 л",128,АКПП,передний,универсал,88 500 км,2,левый,Premium.
Mercedes,Benz GLS Class,2024,"2 поколение, рестайлинг",N/A,N/A,"дизель, 3.0 л",367,автомат,4WD,N/A,"150 км , без пробега по РФ",N/A,левый,GLS 450 d 4MATIC
Mercedes,Benz GLK Class,2015,"1 поколение, рестайлинг",N/A,N/A,"дизель, 2.1 л",170,АКПП,4WD,N/A,171 680 км,2,левый,GLK 220 CDI 4MATIC AT Особая серия; АКПП; 4вд; белый
Toyota,Crown,1997,10 поколение,N/A,N/A,"бензин, 2.5 л",200,АКПП,задний,седан,111 700 км,4,правый,N/A
Land,Rover Freelander,2009,2 поколение,N/A,N/A,"бензин, 3.2 л",233,АКПП,4WD,джип/suv 5 дв.,205 001 км,4,левый,3.2 i6 AT HSE
Land,Rover Range Rover Evoque,2014,1 поколение,N/A,N/A,"дизель, 2.2 л",190,АКПП,4WD,джип/suv 5 дв.,154 400 км,3,левый,2.2 SD4 AT AWD Prestige
Skoda,Octavia,2017,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.4 л",150,робот,передний,лифтбек,150 000 км,4,левый,N/A
Nissan,Leaf,2020,2 поколение,N/A,N/A,электро,150,АКПП,передний,хэтчбек 5 дв.,39 771 км,1,правый,40kWh X
Mitsubishi,Pajero,2012,"4 поколение, рестайлинг",N/A,N/A,"бензин, 3.8 л",250,АКПП,4WD,джип/suv 5 дв.,137 800 км,2,левый,3.8 AT Ultimate
BMW,X6,2020,3 поколение,N/A,N/A,"дизель, 3.0 л",340,АКПП,4WD,N/A,46 000 км,1,левый,xDrive 40d AT M Sport Pro; АКПП
Mercedes,Benz C Class,2013,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",156,АКПП,задний,седан,235 000 км,2,левый,N/A
Lexus,RX200t,2016,4 поколение,N/A,N/A,"бензин, 2.0 л",238,АКПП,4WD,"Полный привод 4WD, адаптируемая подвеска с изменением жёсткости, система бесключевого доступа, передние сидения с электро-регулировкой, электроподогрев передних и задних сидений, рулевого колеса, лобового стекла и боковых зеркал, вентиляция передних сидений, адаптивный круиз-контроль, премиальный звук Mark Levinson Premium Surround, алюминиевые колесные диски 20-го радиуса, скрытый видеорегистратор+антирадар 2в1, большой монитор, камера заднего вида, электропривод багажной двери, проекция на лобовое стекло и многое другое! Звонить просьба с 08:00 до 21:00 по Московскому времени, а в случае отсутствия ответа с 09:00 21:00 по Владивостоку ( разница +7 часов с Москвой). Торг только при осмотре, по телефону не торгуюсь. Возможны любые проверки авто за Ваш счет у официального дилера. Возможна продажа по безналу + 12% к стоимости! ❗️❗️❗️ВНИМАНИЕ В АВТОСАЛОН НЕ ПОСТАВЛЮ, ОБМЕНЫ НЕ ИНТЕРЕСУЮТ, ТОЛЬКО ПРОДАЖА!",84 000 км,2,левый,2.0t AT AWD F Sport Luxury
MINI,Hatch,2013,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",211,АКПП,передний,хэтчбек 3 дв.,96 500 км,3,левый,1.6 AT John Cooper Works
Mitsubishi,Outlander,2013,3 поколение,N/A,N/A,"бензин, 2.0 л",146,вариатор,4WD,N/A,148 200 км,2,левый,N/A
Mazda,CX 5,2021,2 поколение,N/A,N/A,"бензин, 2.5 л",250,АКПП,4WD,N/A,22 000 км,1,левый,2.5 AT Signature; полный привод
BMW,6 Series Gran Turismo,2018,1 поколение,N/A,N/A,"дизель, 2.0 л",190,АКПП,4WD,N/A,97 416 км,3,левый,620d AT xDrive Sport Line
Mercedes,Benz GLS Class,2016,1 поколение,N/A,N/A,"бензин, 3.0 л",333,АКПП,4WD,N/A,80 000 км,2,левый,N/A
BMW,X7,2019,1 поколение,N/A,N/A,"дизель, 3.0 л",249,АКПП,4WD,N/A,140 000 км,2,левый,xDrive30d AT Base
Лада,Гранта,2022,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",90,механика,передний,лифтбек,13 635 км,1,левый,1.6 MT Classic + пакет Optima
Toyota,Aqua,2015,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л, гибрид",74,вариатор,передний,N/A,162 000 км,3,правый,1.5 S
Лада,2111,2004,1 поколение,N/A,N/A,"бензин, 1.5 л",78,механика,передний,N/A,300 000 км,2,левый,N/A
Toyota,Vista,2000,"5 поколение, рестайлинг",N/A,N/A,"бензин, 1.8 л",136,АКПП,передний,седан,299 500 км,3,правый,1.8 N180 L
Porsche,Cayenne,2011,2 поколение,N/A,N/A,"бензин, 3.0 л, гибрид",333,АКПП,4WD,N/A,195 000 км,3,левый,3.0 Tiptronic S Hybrid
Toyota,RAV4,2008,3 поколение,N/A,N/A,"бензин, 2.4 л",170,АКПП,4WD,джип/suv 5 дв.,223 000 км,4,левый,2.4 AT Sol
Skoda,Kodiaq,2018,1 поколение,N/A,N/A,"бензин, 2.0 л",180,робот,4WD,N/A,224 000 км,2,левый,почти в максимуме.
Lexus,NX200,2018,"1 поколение, рестайлинг",N/A,N/A,"бензин, 2.0 л",150,вариатор,4WD,N/A,210 000 км,3,левый,2.0 CVT AWD Luxury
Hyundai,Solaris,2013,1 поколение,N/A,N/A,"бензин, 1.4 л",107,АКПП,передний,седан,325 000 км,4,левый,N/A
Kia,Spectra,2005,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",101,механика,передний,седан,256 143 км,4,левый,1.6 MT Стандарт
Nissan,Sunny,2000,10 поколение,N/A,N/A,"бензин, 1.5 л",105,АКПП,передний,седан,3 189 км,3,правый,1.5 AT VIP Super Saloon
Mercedes,Benz CLK Class,2005,"2 поколение, рестайлинг",N/A,N/A,"бензин, 3.5 л",272,АКПП,задний,купе,296 528 км,4,левый,N/A
Hyundai,Santa Fe,2012,3 поколение,N/A,N/A,"дизель, 2.2 л",197,АКПП,4WD,N/A,210 000 км,3,левый,2.2 CRDi AT 4WD Dynamic
Kia,Sportage,2020,"4 поколение, рестайлинг",N/A,N/A,"бензин, 2.4 л",184,АКПП,4WD,джип/suv 5 дв.,66 500 км,1,левый,2.4 AT 4WD Luxe+
Лада,2114 Самара,2013,1 поколение,N/A,N/A,"бензин, 1.6 л",89,механика,передний,хэтчбек 5 дв.,189 000 км,1,левый,люкс; подогрев сидений; бортовой компьютер; стеклоподъемники; возможен обмен; 1.6 литра; бензин; пробег 189000 км
Volvo,XC90,2003,1 поколение,N/A,N/A,"бензин, 2.9 л",272,АКПП,4WD,N/A,296 000 км,4,левый,2.9 AT T6 AWD Executive 7-passenger
Лада,2107,2010,1 поколение,N/A,N/A,"бензин, 1.6 л, ГБО",74,механика,задний,N/A,140 000 км,4,N/A,1.6 MT 21074-30-011
Kia,Sportage,2022,5 поколение,N/A,N/A,"бензин, 2.5 л",190,АКПП,4WD,джип/suv 5 дв.,34 000 км,1,левый,2.5 GDI AT 4WD Luxe
Mazda,Mazda3,2006,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",105,АКПП,передний,седан,260 000 км,1,левый,1.6 AT Touring
BMW,X6,2013,"1 поколение, рестайлинг",N/A,N/A,"дизель, 3.0 л",245,АКПП,4WD,N/A,142 774 км,1,левый,xDrive 30d AT; дизель; автоматическая коробка
Volkswagen,Touareg,2011,2 поколение,N/A,N/A,"дизель, 3.0 л",239,автомат,4WD,N/A,332 500 км,4,левый,N/A
Toyota,Isis,2005,1 поколение,N/A,N/A,"бензин, 1.8 л",132,АКПП,передний,N/A,327 651 км,N/A,правый,N/A
Лада,Гранта,2022,"1 поколение, 2 рестайлинг",N/A,N/A,"бензин, 1.6 л",90,механика,передний,лифтбек,68 500 км,1,левый,1.6 MT Classic Кондиционер
Лада,Ларгус,2013,1 поколение,N/A,N/A,"бензин, 1.6 л",105,механика,передний,универсал,100 000 км,N/A,левый,N/A
Kia,Sorento,2018,"3 поколение, рестайлинг",N/A,N/A,"дизель, 2.2 л",200,АКПП,4WD,джип/suv 5 дв.,143 142 км,1,левый,"Prime 2.2 CRDi AT Специальная серия ""Лига Европы"""
Honda,Accord,2008,N/A,N/A,N/A,"бензин, 2.4 л",190,АКПП,передний,седан,173 000 км,4,левый,Honda Accord VII Рестайлинг Type S 2.4 AT (190 л.с.)
ТагАЗ,Вега,2009,1 поколение,N/A,N/A,"бензин, 1.6 л",124,механика,передний,N/A,N/A,N/A,левый,N/A
Kia,Ceed,2022,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.6 л",128,АКПП,передний,универсал,198 905 км,1,левый,1.6 AT Premium
Chevrolet,Orlando,2012,1 поколение,N/A,N/A,"бензин, 1.8 л",141,механика,передний,минивэн,150 000 км,2,левый,1.8 MT LT
Opel,Meriva,2012,2 поколение,N/A,N/A,"бензин, 1.4 л",140,механика,передний,"✅ Все автомобили проверены и прошли предпродажную подготовку. ✅ Гарантия юридической чистоты сделки. ✅ Привлекательные условия по кредиту и страховке. Программы кредитования от банков-партнёров. ✅ Возможность продления гарантии на автомобиль ✅ Специальные условия при обмене Вашего автомобиля на любой с пробегом ✅ Сервисное обслуживание и установка дополнительного оборудования со скидкой 💵 Выкуп: — Выплата 100% сразу. 🚗 Обмен: — Принимаются любые юридически чистые автомобили. В том числе кредитные, легковые, коммерческие. ☎️ Есть вопрос? Задайте его по телефону, будем рады Вам помочь! *Все подробности уточняйте у менеджеров отдела продаж. Автомобиль продается группой официальных дилеров WAGNER AUTO. С 2003 года мы успешно работаем для Вас на автомобильном рынке Санкт-Петербурга. Мы заслужили доверие более 300 000 клиентов. Мы рады видеть Вас ежедневно с 09:00 до 21:00 по адресу: г. Санкт-Петербург Стартовая улица дом 5 #cme324-123680",160 000 км,3,левый,N/A
Skoda,Karoq,2025,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.4 л",150,АКПП,передний,N/A,новый автомобиль,1415021218,левый,1.4T TSI AT Selection II Казахстан
Toyota,Camry,2018,9 поколение,N/A,N/A,"бензин, 3.5 л",249,АКПП,передний,седан,157 356 км,1,левый,3.5 AT Люкс Safety
Skoda,Octavia,2017,"3 поколение, рестайлинг",N/A,N/A,"бензин, 1.8 л",180,механика,передний,лифтбек,52 000 км,N/A,левый,1.8 TSI MT Ambition
Peugeot,308,2010,1 поколение,N/A,N/A,"бензин, 1.6 л",120,АКПП,передний,универсал,209 980 км,1,левый,N/A
Nissan,Almera,2000,2 поколение,N/A,N/A,"бензин, 1.8 л",114,АКПП,передний,хэтчбек 5 дв.,252 000 км,3,левый,1.8 AT Люкс
